Run,Time,base_link_contacts_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
report_sim6_obstacle0_base0,38.23711800575256,0.0,61062.68359375,67612.95703125,6550.26806640625
report_sim6_obstacle0_base1,38.470916986465454,0.0,61440.79296875,67832.5703125,6391.779296875
report_sim6_obstacle0_base2,39.442930698394775,0.0,63392.921875,69891.265625,6498.34716796875
report_sim6_obstacle0_base3,38.60948967933655,0.0,61369.296875,67796.8837890625,6427.587158203125
report_sim6_obstacle0_base4,36.38720417022705,0.0,58834.95703125,64962.81640625,6127.8555908203125
report_sim6_obstacle0_base5,35.62143301963806,0.0,56446.251953125,62429.005859375,5982.752807617188
report_sim6_obstacle0_base6,37.41276025772095,0.0,58983.412109375,65113.5732421875,6130.165466308594
report_sim6_obstacle0_base7,36.53278470039368,0.0,58603.6796875,64834.169921875,6230.485229492188
report_sim6_obstacle0_base8,38.261449575424194,0.0,60980.6328125,67377.1748046875,6396.539733886719
report_sim6_obstacle0_base9,35.8711256980896,0.0,56467.1845703125,62426.6826171875,5959.493713378906
