Time,data
1724194364.3463428,1
1724194364.3663309,1
1724194364.3866293,1
1724194364.406409,1
1724194364.4264526,1
1724194364.446601,1
1724194364.4666526,1
1724194364.4866662,1
1724194364.5075397,1
1724194364.5276434,1
1724194364.5478883,1
1724194364.5683656,1
1724194364.5880075,1
1724194364.6082165,1
1724194364.6283057,1
1724194364.6493938,1
1724194364.6692348,1
1724194364.6902783,1
1724194364.710778,1
1724194364.731071,1
1724194364.7513878,1
1724194364.7713327,1
1724194364.791791,1
1724194364.8136477,2
1724194364.832256,2
1724194364.8523917,2
1724194364.872777,2
1724194364.8928368,2
1724194364.913604,2
1724194364.933432,2
1724194364.9538672,2
1724194364.9734664,2
1724194364.9936125,2
1724194365.013734,2
1724194365.0336792,2
1724194365.0595741,2
1724194365.0845978,2
1724194365.1045468,2
1724194365.1254034,2
1724194365.1453526,2
1724194365.1654372,2
1724194365.1854327,2
1724194365.206231,2
1724194365.227108,2
1724194365.247106,2
1724194365.267237,2
1724194365.2873368,2
1724194365.307771,2
1724194365.3289633,2
1724194365.3478858,2
1724194365.3682475,2
1724194365.3880515,2
1724194365.4083376,2
1724194365.4282982,2
1724194365.4483385,2
1724194365.4686038,2
1724194365.4883568,2
1724194365.508463,2
1724194365.5284367,2
1724194365.5489476,2
1724194365.5690327,2
1724194365.5891035,2
1724194365.609164,2
1724194365.6291773,2
1724194365.6491466,2
1724194365.6713939,2
1724194365.691552,2
1724194365.7113357,2
1724194365.734694,2
1724194365.754851,2
1724194365.7760386,2
1724194365.796085,2
1724194365.8165243,2
1724194365.837528,2
1724194365.857858,2
1724194365.8779206,2
1724194365.8988528,2
1724194365.9193408,2
1724194365.93933,2
1724194365.9593422,2
1724194365.9794712,2
1724194365.999373,2
1724194366.0193717,2
1724194366.0393438,2
1724194366.0593421,2
1724194366.0794015,2
1724194366.0995998,2
1724194366.1197557,2
1724194366.1402597,2
1724194366.1605072,2
1724194366.184533,2
1724194366.204907,2
1724194366.225801,2
1724194366.24674,2
1724194366.2668204,2
1724194366.287173,2
1724194366.3073297,2
1724194366.3290942,2
1724194366.349272,2
1724194366.3711083,2
1724194366.3911564,2
1724194366.4109228,2
1724194366.4307902,2
1724194366.4550784,2
1724194366.4751863,2
1724194366.4952435,2
1724194366.5152097,2
1724194366.5353296,2
1724194366.555971,2
1724194366.575936,2
1724194366.5960405,2
1724194366.616144,2
1724194366.6361399,2
1724194366.6562164,2
1724194366.676318,2
1724194366.6967776,2
1724194366.716722,2
1724194366.7367575,2
1724194366.7578704,2
1724194366.780693,2
1724194366.8008363,2
1724194366.820947,2
1724194366.8409576,2
1724194366.862428,2
1724194366.8828046,2
1724194366.9029996,2
1724194366.9230046,2
1724194366.9430408,2
1724194366.963172,2
1724194366.9831653,2
1724194367.0035477,2
1724194367.0234544,2
1724194367.0433269,2
1724194367.0633802,2
1724194367.0833514,2
1724194367.1040797,2
1724194367.1240647,2
