Run,Time,base_link_contacts_data,power_consumption_hip_data,power_consumption_total_data,power_consumption_wheel_data
report_sim6_obstacle0_rl0,39.24005460739136,9.0,60408.05859375,66640.798828125,6232.7413330078125
report_sim6_obstacle0_rl1,40.23110818862915,0.0,56226.4052734375,62043.8271484375,5817.419158935547
report_sim6_obstacle0_rl2,39.45855474472046,4.0,52924.404296875,58643.9013671875,5719.4993896484375
report_sim6_obstacle0_rl3,41.82940411567688,7.0,64170.0859375,70438.9384765625,6268.855773925781
report_sim6_obstacle0_rl4,39.23574614524841,0.0,54160.8330078125,59996.4814453125,5835.6488037109375
report_sim6_obstacle0_rl5,38.82907199859619,4.0,53211.44140625,58908.927734375,5697.490753173828
report_sim6_obstacle0_rl6,39.87739849090576,5.0,54083.61328125,59951.470703125,5956.832763671875
report_sim6_obstacle0_rl7,37.36704611778259,1.0,58386.333984375,64423.8681640625,6037.5380859375
report_sim6_obstacle0_rl8,40.24001336097717,3.0,61584.88671875,67889.01171875,6304.122680664063
report_sim6_obstacle0_rl9,36.7916271686554,0.0,59222.8681640625,65122.18359375,5899.316101074219
