Time,data
1724181211.4039292,80.0543212890625
1724181211.4404318,160.10801696777344
1724181211.4736412,240.16180419921875
1724181211.5160117,320.2155456542969
1724181211.5595617,400.2692565917969
1724181211.5963395,480.3229675292969
1724181211.6308017,560.3766479492188
1724181211.6648026,640.4302368164062
1724181211.6985312,720.4838256835938
1724181211.7325075,800.5374755859375
1724181211.7663672,880.5910034179688
1724181211.8091736,960.6445922851562
1724181211.8559391,1040.6981201171875
1724181211.877901,1120.7515869140625
1724181211.9242013,1200.8050537109375
1724181211.9663541,1280.8585205078125
1724181211.9993753,1360.9117431640625
1724181212.0328732,1440.9652099609375
1724181212.0673504,1521.0185546875
1724181212.1008408,1601.072021484375
1724181212.1338115,1681.1253662109375
1724181212.1679106,1761.1787109375
1724181212.200911,1841.2318115234375
1724181212.2448342,1921.28515625
1724181212.2887294,2001.33837890625
1724181212.3454297,2081.3916015625
1724181212.390813,2161.44482421875
1724181212.4352317,2241.498046875
1724181212.4910705,2321.551025390625
1724181212.5292516,2401.604248046875
1724181212.5638225,2481.6572265625
1724181212.6180391,2561.71044921875
1724181212.650834,2641.76806640625
1724181212.6869845,2722.19873046875
1724181212.7197957,2803.118896484375
1724181212.7544758,2884.457275390625
1724181212.790826,2966.1259765625
1724181212.8240104,3047.991455078125
1724181212.8602114,3129.84912109375
1724181212.8925107,3211.689697265625
1724181212.9256442,3293.53271484375
1724181212.95918,3375.4267578125
1724181212.9940102,3457.49169921875
1724181213.0334067,3539.70458984375
1724181213.062254,3621.99755859375
1724181213.0965905,3704.3525390625
1724181213.1337833,3786.71337890625
1724181213.1689706,3869.097900390625
1724181213.2130384,3951.54541015625
1724181213.2690609,4034.035888671875
1724181213.3066056,4116.55322265625
1724181213.3401475,4199.1875
1724181213.3728933,4281.9453125
1724181213.4059503,4364.8212890625
1724181213.4399943,4447.779296875
1724181213.474077,4530.7451171875
1724181213.510844,4613.71044921875
1724181213.5462205,4696.7353515625
1724181213.5847611,4779.85693359375
