Time,data
1724181211.4040606,80.0543212890625
1724181211.4405375,160.10801696777344
1724181211.473605,240.16180419921875
1724181211.5160177,320.2155456542969
1724181211.5597653,400.2692565917969
1724181211.5963356,480.3229675292969
1724181211.6308007,560.3766479492188
1724181211.6648088,640.4302368164062
1724181211.6985395,720.4838256835938
1724181211.7324927,800.5374755859375
1724181211.766413,880.5910034179688
1724181211.809261,960.6445922851562
1724181211.8561244,1040.6981201171875
1724181211.8779638,1120.7515869140625
1724181211.924269,1200.8050537109375
1724181211.9663553,1280.8585205078125
1724181211.999419,1360.9117431640625
1724181212.032868,1440.9652099609375
1724181212.067334,1521.0185546875
1724181212.1008465,1601.072021484375
1724181212.133788,1681.1253662109375
1724181212.1679204,1761.1787109375
1724181212.2008514,1841.2318115234375
1724181212.2449787,1921.28515625
1724181212.2887363,2001.33837890625
1724181212.3455272,2081.3916015625
1724181212.391249,2161.44482421875
1724181212.4352539,2241.498046875
1724181212.4911916,2321.551025390625
1724181212.52931,2401.604248046875
1724181212.5639544,2481.6572265625
1724181212.6183326,2561.71044921875
1724181212.6508858,2641.76806640625
1724181212.687093,2722.19873046875
1724181212.7198048,2803.118896484375
1724181212.7544649,2890.0625
1724181212.7907364,2979.48095703125
1724181212.8240247,3069.09619140625
1724181212.8605118,3158.703369140625
1724181212.8925214,3248.802978515625
1724181212.9256701,3338.9052734375
1724181212.9592512,3429.058349609375
1724181212.9940674,3514.57275390625
1724181213.033392,3600.23486328125
1724181213.0626035,3686.418212890625
1724181213.0965781,3772.66357421875
1724181213.1337838,3859.307373046875
1724181213.1689792,3945.975341796875
1724181213.213049,4031.97509765625
1724181213.2697804,4118.01806640625
1724181213.306604,4205.14453125
1724181213.340136,4291.11376953125
1724181213.3728976,4377.20654296875
1724181213.4060414,4464.25244140625
1724181213.4399729,4552.98193359375
1724181213.4740725,4641.7197265625
1724181213.5108445,4730.05419921875
1724181213.54622,4817.44140625
1724181213.5848439,4904.29345703125
1724181213.6185548,4991.22998046875
1724181213.6533074,5079.45068359375
1724181213.6887372,5168.64453125
1724181213.724974,5257.837890625
1724181213.7608118,5347.03125
1724181213.8000152,5436.2255859375
1724181213.83733,5523.0693359375
1724181213.879359,5609.7705078125
1724181213.919008,5692.97412109375
1724181213.9644067,5776.18798828125
1724181214.0102944,5863.423828125
1724181214.0418737,5946.65673828125
1724181214.0756128,6029.89599609375
1724181214.112014,6116.5439453125
1724181214.1469152,6203.23095703125
1724181214.1815763,6290.306640625
1724181214.2161226,6379.13330078125
1724181214.248949,6467.9287109375
1724181214.2830923,6558.01708984375
1724181214.3201413,6649.072265625
1724181214.3557587,6740.20947265625
1724181214.392303,6831.7138671875
1724181214.4247901,6922.78125
1724181214.461367,7013.73974609375
1724181214.4970381,7104.64697265625
1724181214.5565822,7195.75927734375
1724181214.6011968,7285.8896484375
1724181214.6341262,7376.16650390625
1724181214.6803887,7467.0947265625
1724181214.7119198,7558.01806640625
1724181214.748366,7648.05419921875
1724181214.7809465,7738.1103515625
1724181214.8151264,7825.8076171875
1724181214.851135,7914.376953125
1724181214.8879914,8001.76220703125
1724181214.9271588,8089.14990234375
1724181214.9607337,8176.67138671875
1724181215.0035696,8264.53125
1724181215.0373847,8352.3740234375
1724181215.0705574,8440.896484375
1724181215.1100097,8534.3759765625
1724181215.1474712,8630.208984375
1724181215.19031,8726.029296875
1724181215.2466378,8820.482421875
1724181215.2763515,8914.91796875
1724181215.310747,9009.3359375
1724181215.3480983,9105.5537109375
1724181215.381959,9200.2021484375
1724181215.4163632,9295.2607421875
1724181215.4525585,9390.3056640625
1724181215.4877632,9484.5107421875
1724181215.5198858,9578.7060546875
1724181215.5542858,9672.7275390625
1724181215.5898879,9766.755859375
1724181215.6254432,9860.408203125
1724181215.6617243,9953.7197265625
1724181215.6967459,10047.0166015625
1724181215.7302814,10141.466796875
1724181215.770579,10236.5400390625
1724181215.8158805,10331.591796875
1724181215.856945,10426.5869140625
1724181215.9077432,10519.884765625
1724181215.9622643,10613.14453125
1724181215.998169,10706.37109375
1724181216.033701,10803.5859375
1724181216.0720854,10900.7568359375
1724181216.1075025,10995.5615234375
1724181216.1448789,11090.2685546875
