Time,data
1724181273.270544,1
1724181273.4554741,1
1724181273.6688607,1
1724181273.909819,1
1724181274.1253974,1
1724181274.3360157,1
1724181274.3542073,2
1724181274.354386,2
1724181274.5742297,2
1724181274.7878683,2
1724181275.0041451,2
1724181275.2304158,2
1724181275.4478528,2
1724181275.4656997,2
1724181275.466023,2
1724181275.6606057,2
1724181275.8949065,2
1724181276.1112003,2
1724181276.346976,2
1724181276.5751703,2
1724181276.5944285,2
1724181276.5946727,2
1724181276.7938263,2
1724181277.0164206,2
1724181277.2367868,2
1724181277.4529274,2
1724181277.7301645,2
1724181277.7472973,2
1724181277.7475746,2
1724181277.9561577,2
1724181278.1853483,2
1724181278.4255693,2
1724181278.6403446,2
1724181278.8788137,2
1724181278.9074473,2
1724181278.9075086,2
1724181279.165441,2
1724181279.37799,2
1724181279.5994325,2
1724181279.8084726,2
1724181280.0215793,2
1724181280.037996,2
1724181280.0385358,2
1724181280.2713528,2
1724181280.526929,2
1724181280.7478733,2
1724181280.9637496,2
1724181281.184639,2
1724181281.2029536,2
1724181281.2033508,2
1724181281.3970563,2
1724181281.6383512,2
1724181281.847008,2
1724181282.0736032,2
1724181282.314729,2
1724181282.3315244,2
1724181282.3318954,2
1724181282.5365255,2
1724181282.7701464,2
1724181282.9760175,2
1724181283.1905763,2
1724181283.4442527,2
1724181283.460717,2
1724181283.4608934,2
1724181283.655014,2
1724181283.8807712,2
1724181284.1215782,2
1724181284.335018,2
1724181284.5654497,2
1724181284.5876763,2
1724181284.5876973,2
1724181284.820286,2
1724181285.0471237,2
1724181285.3211594,2
1724181285.7099972,2
1724181286.1991177,2
1724181286.249832,2
1724181286.2500238,2
1724181286.7434454,2
1724181287.3137228,2
1724181287.8779137,2
1724181288.4343677,2
1724181289.0225172,2
1724181289.072549,2
1724181289.0727537,2
1724181289.632486,2
1724181290.306038,2
1724181291.1443355,2
1724181292.0615377,2
1724181293.0256054,2
1724181293.1093135,2
1724181293.1095316,2
1724181294.001813,2
1724181294.964809,2
1724181295.9301264,2
1724181296.9330533,2
1724181297.9333744,2
1724181298.0183835,2
1724181298.018613,2
1724181298.9186003,2
1724181299.9150379,2
1724181300.9018922,2
1724181301.7737103,2
1724181302.436317,2
1724181302.498993,2
1724181302.499164,2
1724181303.0920296,2
1724181303.7113576,2
1724181304.3397906,2
1724181304.9852202,2
1724181305.6032567,2
1724181305.6634696,2
1724181305.6638062,2
1724181306.2265093,2
1724181306.8808665,2
1724181307.2172425,2
1724181307.506801,2
1724181307.7713683,2
1724181307.8041031,2
1724181307.8043709,2
1724181308.0485678,2
1724181308.3130062,2
1724181308.5893285,2
1724181308.8861003,2
1724181309.133574,2
1724181309.1608524,2
1724181309.161199,2
1724181309.411192,2
1724181309.6062675,2
1724181309.7070405,2
1724181309.9896817,2
1724181310.2640889,2
1724181310.5465252,2
1724181310.5635788,2
1724181310.7176497,2
1724181310.823653,2
1724181311.091609,2
1724181311.3894117,2
1724181311.7032988,2
1724181312.0017164,2
1724181312.014537,2
1724181312.15558,2
1724181312.2861009,2
1724181312.5482004,2
1724181312.7962253,2
1724181313.0973806,2
